Park Name,Pcode,FLI_day,FBI_day,FLI_pct,FBI_pct,FLI_max_delta,FBI_max_delta,FLI_rate,FBI_rate
Abraham Lincoln Birthplace National Historical Park,ABLI,63.22,95.85,20.11,2.16,19.02,3.33,-0.56,-0.76
Acadia National Park,ACAD,112.09,142.87,1.41,1.08,0.87,0.23,-0.73,-0.55
Agate Fossil Beds National Monument,AGFO,93.07,131.53,3.53,18.64,1.89,23.73,-1.15,-0.35
Alagnak Wild River National Wild And Scenic River,ALAG,133.56,164.37,9.71,9.69,14.25,9.51,-0.77,-0.85
Alibates Flint Quarries National Monument,ALFL,57.24,91.24,11.41,1.44,11.69,1.18,-0.53,-0.91
Allegheny Portage Railroad National Historic Site,ALPO,92.10,121.55,4.21,1.08,6.32,0.23,-0.72,-0.84
Amistad National Recreation Area,AMIS,28.58,54.21,29.22,42.08,30.02,34.18,-0.15,-0.19
Anacostia Park,ANAC,70.13,102.93,11.08,2.05,20.89,2.81,-0.70,-0.72
Aniakchak National Monument and Preserve,ANIA,139.28,178.89,8.60,13.68,3.26,11.79,-0.84,-0.63
Antietam National Battlefield,ANTI,79.92,110.14,6.18,1.08,7.53,0.23,-0.74,-0.86
Appomattox Court House National Historical Park,APCO,62.56,96.48,19.73,3.45,29.66,3.65,-0.62,-0.63
Apostle Islands National Lakeshore,APIS,114.22,145.62,1.08,10.12,0.23,19.23,-0.99,-0.56
Appalachian National Scenic Trail,APPA,87.90,118.22,5.11,1.08,7.53,0.23,-0.65,-0.70
Arches National Park,ARCH,89.17,123.01,9.35,22.71,19.18,26.52,-0.75,-0.15
Arkansas Post National Memorial,ARPO,43.07,73.35,67.72,31.14,20.58,31.17,0.18,-0.26
Assateague Island National Seashore,ASIS,60.58,97.80,20.41,6.65,30.64,14.33,-0.54,-0.63
Aztec Ruins National Monument,AZRU,93.12,128.65,6.33,7.44,13.36,12.39,-0.93,-0.56
Badlands National Park,BADL,92.71,128.22,3.16,8.15,4.17,14.08,-1.19,-0.48
Bandelier National Monument,BAND,86.76,123.75,4.64,2.77,10.58,2.68,-1.02,-0.69
Baltimore-Washington National Parkway,BAWA,73.37,105.38,10.00,1.73,21.13,1.84,-0.70,-0.75
Bering Land Bridge National Preserve,BELA,155.95,182.42,3.75,3.80,6.69,4.70,-0.64,-0.77
Bent's Old Fort National Historic Site,BEOL,76.18,112.21,9.93,2.12,12.89,2.02,-0.93,-0.76
Big Bend National Park,BIBE,30.40,57.07,35.26,31.62,43.85,25.91,-0.03,-0.14
Bighorn Canyon National Recreation Area,BICA,100.20,138.12,3.92,33.39,7.40,34.87,-1.08,-0.16
Big Cypress National Preserve,BICY,13.77,27.21,56.61,51.51,30.65,32.79,0.00,-0.02
Big Hole National Battlefield,BIHO,129.95,167.05,90.51,90.04,21.69,3.05,0.36,0.34
Biscayne National Park,BISC,12.82,25.68,49.11,51.68,39.78,38.11,-0.03,-0.02
Big South Fork National River and Recreation Area National River,BISO,62.12,95.35,30.71,2.48,33.11,3.10,-0.37,-0.68
Big Thicket National Preserve,BITH,27.23,52.68,46.27,52.92,23.95,23.62,-0.11,-0.04
Black Canyon Of The Gunnison National Park,BLCA,113.79,149.44,4.49,9.87,5.25,6.88,-0.56,-0.35
Blue Ridge Parkway National Parkway,BLRI,65.01,98.81,23.83,2.48,25.08,3.10,-0.49,-0.70
Bluestone National Scenic River National Wild And Scenic River,BLUE,74.25,105.89,22.04,1.08,17.80,0.23,-0.38,-0.85
Boston Harbor Islands National Recreation Area,BOHA,100.65,131.20,2.38,1.08,3.78,0.23,-0.82,-0.82
Booker T. Washington National Monument,BOWA,65.06,98.30,17.55,2.16,20.46,3.33,-0.53,-0.68
Bryce Canyon National Park,BRCA,94.55,131.38,9.09,28.33,16.27,39.61,-0.80,-0.24
Buffalo National River,BUFF,55.52,87.47,24.66,5.35,42.02,11.70,-0.46,-0.66
Cabrillo National Monument,CABR,19.85,38.01,2.49,1.44,0.76,1.18,-0.50,-0.88
Canyon De Chelly National Monument,CACH,83.26,118.46,7.09,6.83,12.15,9.47,-0.91,-0.62
Cape Cod National Seashore,CACO,96.10,130.41,2.70,1.08,4.75,0.23,-1.05,-0.88
Casa Grande Ruins National Monument,CAGR,29.06,56.55,7.20,14.30,9.01,10.98,-0.41,-0.55
Cape Hatteras National Seashore,CAHA,38.73,73.01,58.19,29.29,26.53,42.79,0.03,-0.35
Capitol Hill Parks,CAHE,70.07,102.87,11.08,2.05,20.89,2.81,-0.70,-0.72
Cape Krusenstern National Monument,CAKR,155.63,186.18,3.03,3.60,5.72,4.51,-0.76,-0.96
Cape Lookout National Seashore,CALO,35.07,67.01,56.35,39.30,27.73,53.50,0.01,-0.21
Canaveral National Seashore,CANA,15.71,30.74,47.81,44.43,29.77,26.86,-0.02,-0.09
Canyonlands National Park,CANY,86.69,120.45,11.16,19.19,18.72,24.58,-0.77,-0.26
Capitol Reef National Park,CARE,92.12,127.70,8.05,19.00,15.30,29.90,-0.84,-0.29
Carl Sandburg Home National Historic Site,CARL,60.34,95.09,26.66,6.51,36.23,8.50,-0.44,-0.58
Castillo De San Marcos National Monument,CASA,21.22,41.42,48.54,54.23,17.60,16.86,-0.06,-0.05
Catoctin Mountain Park,CATO,79.58,109.86,6.18,1.08,7.53,0.23,-0.77,-0.86
Carlsbad Caverns National Park,CAVE,41.12,74.07,9.31,4.87,20.15,4.54,-0.40,-0.79
Capulin Volcano National Monument,CAVO,79.24,116.64,7.46,1.44,12.31,1.18,-0.88,-0.71
Cedar Breaks National Monument,CEBR,91.80,129.38,9.09,20.76,16.27,30.87,-0.93,-0.33
Chattahoochee River National Recreation Area,CHAT,44.73,77.44,57.28,23.77,31.85,26.75,-0.04,-0.42
Chickamauga and Chattanooga National Military Park,CHCH,51.80,85.57,40.78,13.26,42.16,20.15,-0.26,-0.53
Chaco Culture National Historical Park,CHCU,89.76,125.61,7.34,7.44,15.30,12.39,-0.93,-0.60
Chickasaw National Recreation Area,CHIC,44.99,75.45,39.59,6.25,25.42,9.55,-0.31,-0.67
Chiricahua National Monument,CHIR,36.41,71.87,5.20,4.88,8.63,7.66,-0.73,-1.00
Channel Islands National Park,CHIS,25.46,50.65,1.44,2.20,1.18,2.25,-0.47,-0.93
