"DID","Start","End","Year","per","CF","duration","severity","peak","freq"
1,2020-08-13 07:23:13,2020-08-13 07:23:13,1951,"H","Climate Future 3",1,-0.0121807033601264,-0.68479515316668,8
2,2020-08-13 07:23:13,2020-08-13 07:23:13,1960,"H","Climate Future 3",3,0.152015131237942,-1.09921747048857,2
3,2020-08-13 07:23:13,2020-08-13 07:23:13,1965,"H","Climate Future 3",3,0.439609363157445,-1.28524275401316,5
4,2020-08-13 07:23:13,2020-08-13 07:23:13,1973,"H","Climate Future 3",1,1.36060861590569,-0.874627246075067,6
5,2020-08-13 07:23:13,2020-08-13 07:23:13,1980,"H","Climate Future 3",3,-1.29725178960919,-1.17324055728741,1
6,2020-08-13 07:23:13,2020-08-13 07:23:13,1984,"H","Climate Future 1",3,4.66115728126282,-1.06599489587805,6
7,2020-08-13 07:23:13,2020-08-13 07:23:13,1993,"H","Climate Future 1",2,3.17400365201928,-1.06599489587805,2
8,2020-08-13 07:23:13,2020-08-13 07:23:13,1952,"H","Climate Future 1",1,1.19806951768409,-1.03232470109645,8
9,2020-08-13 07:23:13,2020-08-13 07:23:13,1961,"H","Climate Future 1",1,-4.13981389994629,-1.30261583620718,5
10,2020-08-13 07:23:13,2020-08-13 07:23:13,1967,"H","Climate Future 1",3,-3.20106004858436,-1.30261583620718,2
11,2020-08-13 07:23:13,2020-08-13 07:23:13,1972,"H","Climate Future 1",1,0.160889841754164,-0.835554037824749,6
12,2020-08-13 07:23:13,2020-08-13 07:23:13,1979,"H","Climate Future 4",1,3.17242087618658,-1.22411119865758,3
13,2020-08-13 07:23:13,2020-08-13 07:23:13,1983,"H","Climate Future 4",1,4.05145005898855,-1.30527604053917,3
14,2020-08-13 07:23:13,2020-08-13 07:23:13,1987,"H",NA,2,-1.08244139744512,-0.579613831812755,4
15,2020-08-13 07:23:13,2020-08-13 07:23:13,1993,"H","Climate Future 1",1,-0.590516018521951,-0.590516018521951,2
16,2020-08-13 07:23:13,2020-08-13 07:23:13,1996,"H","Climate Future 1",1,-1.22411119865758,-1.22411119865758,NA
17,2020-08-13 07:23:13,2020-08-13 07:23:13,1956,"H","Climate Future 4",1,-0.617702454044278,-0.617702454044278,1
18,2020-08-13 07:23:13,2020-08-13 07:23:13,1958,"H","Climate Future 4",1,-0.733137032491902,-0.733137032491902,4
